ID,Length,start,finish,Dates,SD
1,1825,1,1825,19810101-19851231,19810101
2,1825,1826,3650,19860101-19901231,19860101
3,1825,3651,5475,19910101-19951231,19910101
4,1825,5476,7300,19960101-20001231,19960101
5,1825,7301,9125,20010101-20051231,20010101
6,1825,9126,10950,20060101-20101231,20060101
7,1460,10951,12410,20110101-20141231,20110101
